datetime,visibility
2025-09-07T15:00:00Z,7000
2025-09-07T15:31:00Z,6000
2025-09-07T16:00:00Z,5000
2025-09-07T17:00:00Z,9000
2025-09-07T18:00:00Z,9000
2025-09-07T19:00:00Z,9000
2025-09-07T21:00:00Z,9000
2025-09-10T06:00:00Z,8000
2025-09-10T07:00:00Z,8000
2025-09-10T08:00:00Z,8000
2025-09-10T09:00:00Z,8000
2025-09-10T10:00:00Z,8000
2025-09-12T07:00:00Z,8000
2025-09-12T08:00:00Z,8000
2025-09-12T09:00:00Z,7000
2025-09-12T10:00:00Z,7000
2025-09-12T11:00:00Z,8000
2025-09-12T12:00:00Z,9000
2025-09-13T08:00:00Z,6000
2025-09-13T09:00:00Z,6000
2025-09-13T10:00:00Z,8000
2025-09-14T07:00:00Z,8000
2025-09-14T08:00:00Z,8000
2025-09-14T09:00:00Z,8000
2025-09-14T10:00:00Z,8000
2025-09-15T10:00:00Z,8000
2025-09-15T11:00:00Z,8000
2025-09-16T19:22:00Z,4500
2025-09-16T20:00:00Z,8000
2025-09-16T21:00:00Z,4500
2025-09-16T22:00:00Z,4500
2025-09-16T23:00:00Z,7000
2025-09-17T00:00:00Z,8000
2025-09-17T01:00:00Z,8000
2025-09-17T02:00:00Z,8000
2025-09-17T03:00:00Z,7000
2025-09-17T04:00:00Z,7000
2025-09-17T05:00:00Z,7000
2025-09-17T06:00:00Z,7000
2025-09-17T07:00:00Z,7000
2025-09-17T08:00:00Z,8000
2025-09-17T09:00:00Z,7000
2025-09-17T10:00:00Z,8000
2025-09-17T11:00:00Z,8000
2025-09-19T09:00:00Z,8000
2025-09-19T10:00:00Z,7000
2025-09-19T11:00:00Z,8000
2025-09-19T11:34:00Z,8000
2025-09-19T12:00:00Z,8000
2025-09-19T13:00:00Z,8000
2025-09-19T14:00:00Z,8000
2025-09-21T09:00:00Z,8000
2025-09-22T09:00:00Z,9000
2025-09-22T11:00:00Z,9000
2025-09-22T12:00:00Z,9000
2025-09-22T19:00:00Z,9000
2025-09-22T20:00:00Z,3000
2025-09-22T21:00:00Z,6000
2025-09-22T22:00:00Z,9000
2025-09-22T23:00:00Z,7000
2025-09-23T00:00:00Z,6000
2025-09-23T01:00:00Z,6000
2025-09-23T02:00:00Z,6000
2025-09-23T03:00:00Z,6000
2025-09-23T04:00:00Z,6000
2025-09-23T05:00:00Z,7000
2025-09-23T07:00:00Z,6000
2025-09-23T08:00:00Z,8000
2025-09-23T16:00:00Z,8000
2025-09-24T19:00:00Z,4000
2025-09-24T20:00:00Z,3000
2025-09-24T21:00:00Z,3000
2025-09-24T21:40:00Z,8000
2025-09-24T22:00:00Z,7000
2025-09-24T23:00:00Z,8000
2025-09-25T00:00:00Z,9000
2025-09-25T03:00:00Z,5000
2025-09-25T04:00:00Z,4000
2025-09-25T05:00:00Z,8000
2025-09-25T06:00:00Z,4000
2025-09-25T07:00:00Z,4000
2025-09-25T08:00:00Z,3500
2025-09-25T09:00:00Z,8000
2025-09-25T10:00:00Z,2000
2025-09-25T11:00:00Z,6000
2025-09-25T12:00:00Z,8000
2025-09-25T15:00:00Z,4000
2025-09-25T16:00:00Z,7000
2025-09-25T20:15:00Z,3000
2025-09-25T21:00:00Z,9000
2025-09-26T00:00:00Z,7000
2025-09-26T01:00:00Z,2000
2025-09-26T01:47:00Z,4000
2025-09-26T02:00:00Z,7000
2025-09-26T02:29:00Z,7000
2025-09-26T03:00:00Z,7000
2025-09-26T04:00:00Z,8000
2025-09-26T05:00:00Z,2500
2025-09-26T05:35:00Z,7000
2025-09-26T06:00:00Z,7000
2025-09-26T07:00:00Z,7000
2025-09-26T07:17:00Z,2500
2025-09-26T08:00:00Z,5000
2025-09-26T09:00:00Z,7000
2025-09-26T10:00:00Z,8000
2025-09-30T09:00:00Z,5000
2025-09-30T10:00:00Z,5000
2025-09-30T11:00:00Z,9000
2025-09-30T12:00:00Z,9000
2025-09-30T13:00:00Z,9000
2025-10-02T08:00:00Z,7000
2025-10-02T09:00:00Z,6000
2025-10-02T10:00:00Z,7000
2025-10-02T13:00:00Z,8000
2025-10-02T14:00:00Z,8000
2025-10-07T21:00:00Z,3500
2025-10-07T22:00:00Z,6000
